sub_area,year
Troickij okrug,1988.8156424581005
Poselenie Shherbinka,1970.820987654321
Akademicheskoe,1965.6214689265537
Alekseevskoe,1963.6536796536795
Altuf'evskoe,1972.3333333333333
Arbat,1928.0727272727272
Ajeroport,1963.4887459807073
Babushkinskoe,1968.7137404580153
Basmannoe,1932.5884955752213
Begovoe,1956.8376623376623
Beskudnikovskoe,1982.580310880829
Bibirevo,1978.4837209302325
Birjulevo Vostochnoe,1979.4811320754718
Birjulevo Zapadnoe,1975.8682170542636
Bogorodskoe,1964.758024691358
Brateevo,1991.2
Butyrskoe,1967.8301886792453
Veshnjaki,1974.1592039800994
Vnukovo,1962.6261682242991
Vojkovskoe,1966.854961832061
Vostochnoe Degunino,1982.3821656050955
Vostochnoe Izmajlovo,1967.0557939914163
Vostochnoe,1966.7101449275362
Vyhino-Zhulebino,1981.2616822429907
Gagarinskoe,1964.9736842105262
Golovinskoe,1968.6160714285713
Gol'janovo,1973.5721784776904
Danilovskoe,1954.07204610951
Dmitrovskoe,1974.183962264151
Donskoe,1961.6703296703297
Dorogomilovo,1955.9141104294479
Zamoskvorech'e,1941.154605263158
Zapadnoe Degunino,1983.9507389162561
Zjuzino,1970.4086294416243
Zjablikovo,1981.9872611464968
Ivanovskoe,1974.9336099585062
Izmajlovo,1963.7846481876334
Kapotnja,1974.0675675675675
Kon'kovo,1976.7298245614036
Koptevo,1968.2213333333334
Kosino-Uhtomskoe,1955.603
Kotlovka,1965.8541666666667
Krasnosel'skoe,1951.5572139303483
Krylatskoe,1991.190082644628
Krjukovo,1993.3699186991869
Kuz'minki,1968.9181034482758
Kuncevo,1969.9622641509434
Kurkino,2003.892857142857
Levoberezhnoe,1979.0509554140128
Lefortovo,1963.2107279693487
Lianozovo,1979.8986486486488
Lomonosovskoe,1970.358208955224
Losinoostrovskoe,1973.0698689956332
Ljublino,1974.910514541387
Marfino,1970.013986013986
Mar'ina Roshha,1966.3225806451612
Mar'ino,1993.206997084548
Matushkino,1984.9354838709678
Metrogorodok,1966.7446808510638
Meshhanskoe,1942.563694267516
Mitino,1996.046875
Mozhajskoe,1970.6682692307693
Molzhaninovskoe,2012.2857142857142
Moskvorech'e-Saburovo,1976.556338028169
Nagatino-Sadovniki,1968.521505376344
Nagatinskij Zaton,1973.5061224489796
Nagornoe,1972.0393013100436
Nekrasovka,2008.8861788617887
Nizhegorodskoe,1963.173184357542
Novo-Peredelkino,1985.4718309859154
Novogireevo,1970.7877813504824
Novokosino,1992.623595505618
Obruchevskoe,1987.310975609756
Orehovo-Borisovo Severnoe,1979.4609929078015
Orehovo-Borisovo Juzhnoe,1979.8564102564103
Ostankinskoe,1965.2456140350878
Otradnoe,1981.8908450704225
Ochakovo-Matveevskoe,1979.9501661129568
Perovo,1966.8517823639775
Pechatniki,1969.12890625
Pokrovskoe Streshnevo,1967.7695852534562
Preobrazhenskoe,1966.9836734693877
Presnenskoe,1948.7513368983957
Prospekt Vernadskogo,1976.0452261306532
Ramenki,1981.2535211267605
Rostokino,1966.5821917808219
Rjazanskij,1969.4095238095238
Savelki,1980.2134831460673
Savelovskoe,1964.5277777777778
Sviblovo,1972.04
Severnoe Butovo,1992.6341463414635
Severnoe Izmajlovo,1966.9795321637428
Severnoe Medvedkovo,1982.2186234817814
Severnoe Tushino,1977.9484536082475
Severnoe,1967.1236559139784
Silino,1983.625
Sokol,1957.478672985782
Sokolinaja Gora,1964.680473372781
Sokol'niki,1961.6256157635469
Solncevo,1980.0643776824033
Staroe Krjukovo,1978.9166666666667
Strogino,1984.5819209039548
Taganskoe,1961.647619047619
Tverskoe,1937.0217821782178
Tekstil'shhiki,1967.57328990228
Teplyj Stan,1979.4418604651162
Timirjazevskoe,1964.758865248227
Troparevo-Nikulino,1986.261780104712
Filevskij Park,1970.798418972332
Fili Davydkovo,1969.84554973822
Hamovniki,1949.1130434782608
Hovrino,1983.228448275862
Horoshevo-Mnevniki,1970.729411764706
Horoshevskoe,1971.9080459770114
Caricyno,1970.44776119403
Cheremushki,1971.140625
Chertanovo Severnoe,1977.579831932773
Chertanovo Central'noe,1977.535294117647
Chertanovo Juzhnoe,1979.5746606334842
Shhukino,1962.788944723618
Juzhnoe Butovo,1998.3708333333334
Juzhnoe Medvedkovo,1982.3
Juzhnoe Tushino,1969.2636363636364
Juzhnoportovoe,1964.2938388625591
Jakimanka,1956.0534351145038
Jaroslavskoe,1972.502617801047
Jasenevo,1980.4941176470588
Poselenie Vnukovskoe,1997.359649122807
Poselenie Voronovskoe,1975.6617647058824
Poselenie Voskresenskoe,1989.8444444444444
Poselenie Desjonovskoe,1974.0983606557377
Poselenie Kievskij,2013.0
Poselenie Klenovskoe,1974.3333333333333
Poselenie Kokoshkino,1972.0681818181818
Poselenie Krasnopahorskoe,1989.7837837837837
Poselenie Marushkinskoe,1955.0
Poselenie Mihajlovo-Jarcevskoe,1969.657894736842
Poselenie Moskovskij,2001.1724137931035
Poselenie Mosrentgen,1978.9310344827586
Poselenie Novofedorovskoe,1957.3333333333333
Poselenie Pervomajskoe,1971.3445945945946
Poselenie Rogovskoe,1977.0
Poselenie Rjazanovskoe,2009.8181818181818
Poselenie Sosenskoe,2000.1772151898733
Poselenie Filimonkovskoe,2000.0565
Poselenie Shhapovskoe,1982.5357142857142
